ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
4,3.61,15,-1935609,https://cactus.nci.nih.gov/chemical/structure/CCl3OBr/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,
5,9.2,15,-324514,https://cactus.nci.nih.gov/chemical/structure/CCl3OBr/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CCl3/smiles,https://cactus.nci.nih.gov/chemical/structure/BrO/smiles,
6,1.21,16,-305141,https://cactus.nci.nih.gov/chemical/structure/CBr3OCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CBr3/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
7,4.71,15,-186078,https://cactus.nci.nih.gov/chemical/structure/CBr3OCl/smiles,,,[None],[None],
9,4.4,15,-81149,https://cactus.nci.nih.gov/chemical/structure/Al%28CH3%29Al%28CH3%292/smiles,,,https://cactus.nci.nih.gov/chemical/structure/Al%28CH3%293/smiles,[None],
14,3.65,-19,-74290,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrO%28%28.%29%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH3CBr%28OH%29%28%28.%29%29/smiles,,
53,1.5,14,-112245,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
54,4.8,18,-139683,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
55,2.9,16,-139683,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
115,4.57,13,-202873,https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH2SiH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/CH3CH2CH2SiH/smiles,
116,1.82,15,-212850,https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH2SiH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH3/smiles,
192,4,13,-38247,https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COCl2/smiles,[None],
193,4,13,-38247,https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COCl2/smiles,[None],
194,4,13,-38247,https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,,,https://cactus.nci.nih.gov/chemical/structure/COCl2/smiles,[None],
212,1.58,16,-309298,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2C%28CH3%293/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/%28CH3%293Si%28.%29/smiles,
223,5.01,11,-175435,https://cactus.nci.nih.gov/chemical/structure/CH3O%28n-C3H7%29%28CH3%29SiSi%28CH3%293/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiOCH3/smiles,https://cactus.nci.nih.gov/chemical/structure/%28n-C3H7%29%28CH3%29Si/smiles,
235,5.12,-6,-53944,https://cactus.nci.nih.gov/chemical/structure/Cl%28ClO2%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
236,5.12,-6,-53944,https://cactus.nci.nih.gov/chemical/structure/Cl%28ClO2%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
237,5.55,16,-53828,https://cactus.nci.nih.gov/chemical/structure/Cl%28ClO2%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
238,5.55,16,-53828,https://cactus.nci.nih.gov/chemical/structure/Cl%28ClO2%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
239,9.15,15,-317280,https://cactus.nci.nih.gov/chemical/structure/CBr3OBr/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CBr3/smiles,https://cactus.nci.nih.gov/chemical/structure/BrO/smiles,
240,3.21,15,-169948,https://cactus.nci.nih.gov/chemical/structure/CBr3OBr/smiles,,,[None],[None],
259,1.58,16,-220334,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiH/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
260,3.02,14,-201210,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiH/smiles,https://cactus.nci.nih.gov/chemical/structure/SiH2/smiles,
268,2,12,-119728,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,
269,3.16,13,-169615,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSiH%3DCH2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiSi%28CH3%29/smiles,,
270,3.98,12,-144672,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,,[None],,
271,3.16,13,-136357,https://cactus.nci.nih.gov/chemical/structure/%28CH3%293SiCH2Si%28H%29%3A/smiles,,,[None],,
