RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
6949,3483,http://kinetics.nist.gov/kinetics/Detail;jsessionid=754BA0D9F1BE381BB7E4D1B91B6AAE9F?id=1987ATK/ASC91:8,2,3.25,-1,,NO,CH3CH2CH2CH2CH(OO(.))CH2CH3,,n-C4H9CH(C2H5)NO3,,,"299
 
K",2
3,3,http://kinetics.nist.gov/kinetics/Detail;jsessionid=753A8911A1E473C5B5744E6FEBD50A7A?id=2007BRU/JOD194-200:14,1,4,15,-158474,CBr3OF,,,CBr3O(&middot),(.)F,,200,1
4,4,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FD6850886FAF27525AA3A9670619B09?id=2007BRU/JOD194-200:10,1,4.3,15,-180341,CCl3OF,,,(.)F,CCl3O,,200,1
5,5,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2297AF00E71417E132A2AF4216700A45?id=2007BRU/JOD194-200:2,1,1.3,16,-325345,CCl3OF,,,(.)CCl3,OF,,200,1
6,6,http://kinetics.nist.gov/kinetics/Detail;jsessionid=705FF4589C57D03D715BCD977824643A?id=2007BRU/JOD194-200:12,1,3.61,15,-1935609,CCl3OBr,,,Br(.),CCl3O,,200,1
7,7,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E4588ECFEC28EEC66AFB1953801745DC?id=2007BRU/JOD194-200:4,1,9.2,15,-324514,CCl3OBr,,,(.)CCl3,BrO,,200,1
8,8,http://kinetics.nist.gov/kinetics/Detail;jsessionid=69EAFFA6C6B9EA4D7AF19640C6D54487?id=2007BRU/JOD194-200:7,1,1.21,16,-305141,CBr3OCl,,,CBr3,ClO,,200,1
9,9,http://kinetics.nist.gov/kinetics/Detail;jsessionid=16FDF634B3C9D214EBCCD926E154DBF2?id=2007BRU/JOD194-200:15,1,4.71,15,-186078,CBr3OCl,,,CBr3O(&middot),(.)Cl,,200,1
19,19,http://kinetics.nist.gov/kinetics/Detail;jsessionid=74CEE6C0E6267351A6C90E4AC2814022?id=2003LAR/MOR65-70:1,,,,-46861,(CH3)AlAl(CH3)2,,,Al(CH3)Al(CH3)2,,,,
20,20,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,1,2.47,13,-13012,"Spiro[2.5]octa-1,5,7-trien-4-yl",,,2-Phenylethenyl,,,250,1
26,26,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C2DD72D82107BC626A6F2C75CC47AC69?id=2002PAR/NEL313-319:2,1,4.4,15,-81149,Al(CH3)Al(CH3)2,,,Al(CH3)3,Al,,296,1
32,32,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1B249E846E8C1663420215C1CF3352D0?id=2001LIN/MAU409-432:30,1,1,13,-137000,C6H5CH2CH=CH(.),,,3-Phenyl-1-propyne,H(.),,900,1
33,33,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2CA8E6D8AFE88F00BD9C2910300B8F2C?id=2001LIN/MAU409-432:25,1,1,13,-150000,C6H5CH2C(.)=CH2,,,3-Phenyl-1-propyne,H(.),,900,1
34,34,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C708310492D1CAA98060FAAEDD6502CA?id=2001LIN/MAU409-432:26,1,1,13,-138000,C6H5CH2C(.)=CH2,,,Phenylallene,H(.),,900,1
35,35,http://kinetics.nist.gov/kinetics/Detail;jsessionid=37C79B5D7ECBE43E76DF18BAE668D99D?id=2001LIN/MAU409-432:27,1,1,13,-17000,C6H5CH2C(.)=CH2,,,C6H4(.)CH2CHCH2,,,900,1
36,36,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E02D5F6C6B8520331D7A37F050948F87?id=2003DRO/KOS297-304:4,1,3.65,-19,-74290,CH3CHBrO(.),,,CH3CBr(OH)(.),,,250,1
38,37,http://kinetics.nist.gov/kinetics/Detail;jsessionid=660F6FEEC40772C1085D7752042D42C6?id=2003DRO/KOS297-304:2,1,4.82,-17,-60895,CH3CHBrO(.),,,(.)CH3,HC(O)Br,,250,1
39,38,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BA04DAAA447367E22FA10C0DDD35B26B?id=2003DRO/KOS297-304:3,1,3.99,-15,-45297,CH3CHBrO(.),,,CH3COBr,H(.),,250,1
41,39,http://kinetics.nist.gov/kinetics/Detail;jsessionid=17297ACE3445329B1B858AEB17B2DDF0?id=2003DRO/KOS297-304:1,1,5.31,-12,-4141,CH3CHBrO(.),,,CH3CHO,Br(.),,250,1
46,44,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,1,1.16,12,-129118,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,,250,1
47,45,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,1,1.27,13,-74517,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,,2-Phenylethenyl,,,250,1
48,47,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2D6D34F04302B664440C18828AA926DB?id=2003TOK/LIN11397-11408:16,1,3.92,13,-158072,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,,2-(.)C6H4C2H3,,,250,1
49,48,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8E62AB2A341FD57FF0A3816F759D299C?id=2008LIF/TAM925-933:7,1,1.33,14,-156063,C10H7CH2CH2(.),,,1-Ethenylnaphthalene,H(.),,950,1
50,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001ORL/TYN149-156:2,1,1.4,12,-26274,HC(O)CO,,,CO,HCO,,224,1
51,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2010DAS6698-6705:6,1,2.37,14,-42413,HC(O)CO,,,CO,HCO,,200,1
54,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:9,1,6.4,13,-35100,HC(O)CO,,,CO,HCO,,"298
 
K",1
55,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:29,1,1.8,6,,HC(O)CO,,,CO,HCO,,"298
 
K",1
56,50,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0750B30280F398686C0ED8AB2D30FCEE?id=2012VIL/HUY5068-5089:17,1,3.37,9,-59831,(.)C(CH2OOH)(CH3)CH2CH3,,,CH3CH2CH(CH3)CH2OO(.),,,300,1
58,52,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D5F83D147DB9EFCC9EE2B88E541FF793?id=2013DAV/SAR7670-7685:47,1,1.84,9,-225099,3-Pentynal,,,2-Methylfuran,,,300,1
60,54,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9033E0D3BFAC12AB138D5B98D6712723?id=2001LIN/MAU409-432:8,1,1,10,,C6H4(C2H)C2H2(.),,,2-Naphthalenyl,,,900,1
61,55,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB18B04EFA7FC4F2CBBF4FB2F53CD374?id=1998KUL/KOG5228-5235:1,1,8.95,-9,,CF(O)NO,,,FCO,NO,,"298
 
K",1
62,56,http://kinetics.nist.gov/kinetics/Detail;jsessionid=EDE77CD77039E2B9A28C5098BFAF6385?id=1998KUL/KOG5228-5235:2,1,3.24,-13,,CF(O)NO,,,CO,FNO,,"298
 
K",1
63,57,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5480AFD984B123884FDF796040C5E2C5?id=1996GRO/GRO1038-1047:2,1,8.99,-5,,n-C6H13C(O)OONO2,,,n-C6H13C(O)OO(.),NO2,,291,1
64,58,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2006ZHA/LI190-196:1,1,2.91,4,-43734,BNH2,,,HBNH,,,200,1
