RecordID,RID,RecordType,Squib,PaperDetails,Temperature,FrequencyFactor,TemperatureRatioExponent,ActivationEnergy,RateConstant,ReactionOrder
3,3,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=753A8911A1E473C5B5744E6FEBD50A7A?id=2007BRU/JOD194-200:14,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.00E+15,-0.03,158000.0,6.68E-13,1.0
4,4,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FD6850886FAF27525AA3A9670619B09?id=2007BRU/JOD194-200:10,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.30E+15,-0.04,180000.0,1.06E-16,1.0
5,5,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2297AF00E71417E132A2AF4216700A45?id=2007BRU/JOD194-200:2,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.30E+16,-0.57,325000.0,1.23E-41,1.0
6,6,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=705FF4589C57D03D715BCD977824643A?id=2007BRU/JOD194-200:12,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,3.61E+15,-0.53,1940000.0,0,1.0
7,7,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E4588ECFEC28EEC66AFB1953801745DC?id=2007BRU/JOD194-200:4,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,9.20E+15,-0.73,325000.0,1.21E-41,1.0
8,8,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=69EAFFA6C6B9EA4D7AF19640C6D54487?id=2007BRU/JOD194-200:7,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.21E+16,-0.84,305000.0,3.95E-38,1.0
9,9,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=16FDF634B3C9D214EBCCD926E154DBF2?id=2007BRU/JOD194-200:15,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.71E+15,-0.37,186000.0,1.14E-17,1.0
20,20,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,2.47E+13,0.05,13000.0,1.3E+11,1.0
46,44,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,1.16E+12,0.43,129000.0,2.7E-11,1.0
47,45,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,1.27E+13,0.18,74500.0,1.11,1.0
48,47,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2D6D34F04302B664440C18828AA926DB?id=2003TOK/LIN11397-11408:16,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,3.92E+13,0.26,158000.0,7.7E-15,1.0
51,49,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2010DAS6698-6705:6,"Hydroxyl radical regeneration in the photochemical oxidation of glyoxal: kinetics and mechanism of the HC(O)CO + O<sub>2</sub> reaction, da Silva, G. Phys. Chem. Chem. Phys. 12, 6698 (2010)",200 - 2000,2.37E+14,0.13,42400.0,8710000,1.0
64,58,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2006ZHA/LI190-196:1,"The reaction of aminoboranylidene-iminoborane isomerization: a CASSCF direct dynamics study, Zhang, J.-G.; Li, Q.S.; Zhang, S.-W.; J. Mol. Model. 12, 190 (2006)",200 - 2500,2.91E+04,9.37,43700.0,0.000629,1.0
202,148,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=67879F93D9690D7BF15A3946ED353576?id=2013CAO/WAN1161:1,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.39E+12,0.09,65300.0,12.1,1.0
203,149,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A98FE4235CB6A424327D430F6432ED35?id=2013CAO/WAN1161:2,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,9.17E+12,0.11,156000.0,3.45E-15,1.0
204,150,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A0A770DA5F3B3A3807C0A2C2626EB66A?id=2013CAO/WAN1161:6,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.29E+12,0.15,65100.0,12.7,1.0
205,151,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0ED1A191BE48C5D4EEE45D6083475A77?id=2013CAO/WAN1161:3,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,1.72E+13,0.15,208000.0,5.68E-24,1.0
206,152,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=296F07DE1C5DE8D3306716DF83307CDA?id=2013CAO/WAN1161:4,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,1.05E+12,0.8,256000.0,1.53E-33,1.0
207,153,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2E3B69CFA23C90BDDD6B94F6641DA9F4?id=2013CAO/WAN1161:5,"Mechanism and Thermodynamic Properties of CH3SO3 Decomposition, Cao, J.; Wang, W. L.; Gao, L. J.; Fu, F. Acta Phys.-Chim. Sin. 29, 1161 (2013)",200 - 3000,3.32E+12,1.45,376000.0,3.78E-54,1.0
222,163,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D35467B2E7A80157E34E1EFBC956A635?id=2003TOK/LIN11397-11408:7,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,4.61E+11,0.81,110000.0,0.000000025,1.0
376,259,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C334B1BA4E21A9D15490193064A59F57?id=2004LUO/LI5050-5056:4,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,92.82,10.9,32200.0,0.000211,1.0
377,260,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=50CC59F31AA7A7B25A7820111957CAF3?id=2004LUO/LI5050-5056:2,"Direct ab initio dynamics study of the unimolecular reaction of CH<sub>2</sub>FO, Luo, Q.; Li, Q.S. J. Phys. Chem. A: 108, 5050 (2004)",200 - 2500,3.61E+10,3.23,103000.0,0.000000039,1.0
