ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
1,4,15,-158474,https://cactus.nci.nih.gov/chemical/structure/CBr3OF/smiles,,,[None],(.)F,
2,4.3,15,-180341,https://cactus.nci.nih.gov/chemical/structure/CCl3OF/smiles,,,(.)F,https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,
3,1.3,16,-325345,https://cactus.nci.nih.gov/chemical/structure/CCl3OF/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CCl3/smiles,OF,
4,3.61,15,-1935609,https://cactus.nci.nih.gov/chemical/structure/CCl3OBr/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/CCl3O/smiles,
5,9.2,15,-324514,https://cactus.nci.nih.gov/chemical/structure/CCl3OBr/smiles,,,https://cactus.nci.nih.gov/chemical/structure/%28.%29CCl3/smiles,https://cactus.nci.nih.gov/chemical/structure/BrO/smiles,
6,1.21,16,-305141,https://cactus.nci.nih.gov/chemical/structure/CBr3OCl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CBr3/smiles,https://cactus.nci.nih.gov/chemical/structure/ClO/smiles,
7,4.71,15,-186078,https://cactus.nci.nih.gov/chemical/structure/CBr3OCl/smiles,,,[None],[None],
9,4.4,15,-81149,https://cactus.nci.nih.gov/chemical/structure/Al%28CH3%29Al%28CH3%292/smiles,,,https://cactus.nci.nih.gov/chemical/structure/Al%28CH3%293/smiles,[None],
14,3.65,-19,-74290,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrO%28%28.%29%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH3CBr%28OH%29%28%28.%29%29/smiles,,
15,4.82,-17,-60895,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrO%28%28.%29%29/smiles,,,(.)CH3,https://cactus.nci.nih.gov/chemical/structure/HC%28O%29Br/smiles,
16,3.99,-15,-45297,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrO%28%28.%29%29/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH3COBr/smiles,H(.),
17,5.31,-12,-4141,https://cactus.nci.nih.gov/chemical/structure/CH3CHBrO%28%28.%29%29/smiles,,,CH3CHO,[None],
31,3.06,-2,-167952,https://cactus.nci.nih.gov/chemical/structure/CH3CH2Te/smiles,,,(.)C2H5,[None],
32,8,14,-167952,https://cactus.nci.nih.gov/chemical/structure/CH3CH2Te/smiles,,,(.)C2H5,[None],
34,3.07,20,-191233,['O1[Si]O[Si]O[Si]O[Si]1'],,,https://cactus.nci.nih.gov/chemical/structure/SiO/smiles,[None],
53,1.5,14,-112245,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
54,4.8,18,-139683,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
55,2.9,16,-139683,[None],,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHSi%28CH3%293/smiles,[None],
67,3.06,12,-190401,https://cactus.nci.nih.gov/chemical/structure/CH3C%28O%29OCH2CH2C%5BSi%28CH3%293%5D3/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHC%5BSi%28CH3%293%5D3/smiles,CH3C(O)OH,
68,1,13,-100605,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHClO2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHCl%28.%29/smiles,
85,2,18,-215400,https://cactus.nci.nih.gov/chemical/structure/CH3In/smiles,,,(.)CH3,https://cactus.nci.nih.gov/chemical/structure/In%28CH3%292/smiles,
86,2,9,-139200,https://cactus.nci.nih.gov/chemical/structure/CH3In/smiles,,,(.)CH3,[None],
87,8.13,10,-162132,https://cactus.nci.nih.gov/chemical/structure/CH3In/smiles,,,(.)CH3,[None],
88,3.38,8,-55009,https://cactus.nci.nih.gov/chemical/structure/In%28CH3%292/smiles,,,[None],(.)CH3,
89,6.73,9,-55009,https://cactus.nci.nih.gov/chemical/structure/In%28CH3%292/smiles,,,[None],(.)CH3,
90,1.03,14,-244595,https://cactus.nci.nih.gov/chemical/structure/In%28CH3%292/smiles,,,[None],(.)CH3,
91,2.06,15,-244595,https://cactus.nci.nih.gov/chemical/structure/In%28CH3%292/smiles,,,[None],(.)CH3,
109,4.8,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C8H17OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/n-C8H17O2/smiles,
110,4.8,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C8H17OONO2/smiles,,,NO2,https://cactus.nci.nih.gov/chemical/structure/n-C8H17O2/smiles,
111,7.5,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C6H13OONO2/smiles,,,NO2,1-C6H13OO(.),
112,7.5,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C6H13OONO2/smiles,,,NO2,1-C6H13OO(.),
113,8.3,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C4H9OONO2/smiles,,,NO2,CH3CH2CH2CH2OO(.),
114,8.3,15,-86471,https://cactus.nci.nih.gov/chemical/structure/n-C4H9OONO2/smiles,,,NO2,CH3CH2CH2CH2OO(.),
115,4.57,13,-202873,https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH2SiH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/CH3CH2CH2SiH/smiles,
116,1.82,15,-212850,https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH2SiH3/smiles,,,[None],https://cactus.nci.nih.gov/chemical/structure/n-C3H7SiH3/smiles,
120,1.9,-1,-209525,['BrCCN1N=CC=C1'],,,['N1N=CC=C1'],https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHBr/smiles,
123,9.73,-14,7059,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O/smiles
124,6.48,-14,7782,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O2/smiles,,,O2,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O/smiles
125,1.6,-18,31961,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2OH/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHO/smiles,O2
126,2.44,-16,21185,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2O2/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2ClCH2OH/smiles,https://cactus.nci.nih.gov/chemical/structure/CH2ClCHO/smiles,O2
131,5.25,-7,-48141,https://cactus.nci.nih.gov/chemical/structure/CH2CH%28NF2%29Br/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHBr/smiles,NF2,
132,2.09,12,-51051,https://cactus.nci.nih.gov/chemical/structure/CH2CH%28NF2%29Br/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHBr/smiles,NF2,
133,4.78,22,-47725,https://cactus.nci.nih.gov/chemical/structure/CH2CH%28NF2%29Br/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHBr/smiles,NF2,
134,4.78,-8,-40575,https://cactus.nci.nih.gov/chemical/structure/CH2CH%28NF2%29Cl/smiles,,,https://cactus.nci.nih.gov/chemical/structure/CH2%3DCHCl/smiles,NF2,
