RecordID,RID,RecordType,Squib,PaperDetails,Temperature,FrequencyFactor,TemperatureRatioExponent,ActivationEnergy,RateConstant,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
3,3,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=753A8911A1E473C5B5744E6FEBD50A7A?id=2007BRU/JOD194-200:14,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.00E+15,-0.03,158000.0,6.68e-13,1.0,4.0,15,-158474,CBr3OF,,,CBr3O(&middot),(.)F,
4,4,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FD6850886FAF27525AA3A9670619B09?id=2007BRU/JOD194-200:10,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.30E+15,-0.04,180000.0,1.06e-16,1.0,4.3,15,-180341,CCl3OF,,,(.)F,CCl3O,
5,5,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2297AF00E71417E132A2AF4216700A45?id=2007BRU/JOD194-200:2,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.30E+16,-0.57,325000.0,1.23e-41,1.0,1.3,16,-325345,CCl3OF,,,(.)CCl3,OF,
6,6,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=705FF4589C57D03D715BCD977824643A?id=2007BRU/JOD194-200:12,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,3.61E+15,-0.53,1940000.0,0.0,1.0,3.61,15,-1935609,CCl3OBr,,,Br(.),CCl3O,
7,7,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E4588ECFEC28EEC66AFB1953801745DC?id=2007BRU/JOD194-200:4,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,9.20E+15,-0.73,325000.0,1.21e-41,1.0,9.2,15,-324514,CCl3OBr,,,(.)CCl3,BrO,
8,8,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=69EAFFA6C6B9EA4D7AF19640C6D54487?id=2007BRU/JOD194-200:7,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,1.21E+16,-0.84,305000.0,3.95e-38,1.0,1.21,16,-305141,CBr3OCl,,,CBr3,ClO,
9,9,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=16FDF634B3C9D214EBCCD926E154DBF2?id=2007BRU/JOD194-200:15,"Kinetics of the formation reactions of trichloro- and tribromomethyl hypohalites and alcohols in the gas-phase: Theoretical study, Brudnik, K.;Jodkowski, J.T.;Nowek, A.;Leszczynski, J. Chem. Phys. Lett. 435, 194 (2007)",200 - 400,4.71E+15,-0.37,186000.0,1.14e-17,1.0,4.71,15,-186078,CBr3OCl,,,CBr3O(&middot),(.)Cl,
20,20,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,2.47E+13,0.05,13000.0,130000000000.0,1.0,2.47,13,-13012,"Spiro[2.5]octa-1,5,7-trien-4-yl",,,2-Phenylethenyl,,
46,44,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,1.16E+12,0.43,129000.0,2.7e-11,1.0,1.16,12,-129118,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,,"Bicyclo[4.2.0]octa-2,4,6-trien-1-yl",,
47,45,Theory,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,"Reaction of phenyl radicals with acetylene: Quantum chemical investigation of the mechanism and master equation analysis of the kinetics, Tokmakov, I.V.; Lin, M.C. J. Am. Chem. Soc. 125, 11397 (2003)",250 - 2000,1.27E+13,0.18,74500.0,1.11,1.0,1.27,13,-74517,"Bicyclo[4.2.0]octa-2,4,7-trien-1-yl",,,2-Phenylethenyl,,
