RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
20,20,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,1,2.47,13,-13012,[None],,,[None],,,250,1
32,32,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1B249E846E8C1663420215C1CF3352D0?id=2001LIN/MAU409-432:30,1,1,13,-137000,C6H5CH2CH=CH(.),,,['C1(=CC=CC=C1)CC#C'],H(.),,900,1
33,33,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2CA8E6D8AFE88F00BD9C2910300B8F2C?id=2001LIN/MAU409-432:25,1,1,13,-150000,C6H5CH2C(.)=CH2,,,['C1(=CC=CC=C1)CC#C'],H(.),,900,1
34,34,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C708310492D1CAA98060FAAEDD6502CA?id=2001LIN/MAU409-432:26,1,1,13,-138000,C6H5CH2C(.)=CH2,,,['C1(=CC=CC=C1)C=C=C'],H(.),,900,1
35,35,http://kinetics.nist.gov/kinetics/Detail;jsessionid=37C79B5D7ECBE43E76DF18BAE668D99D?id=2001LIN/MAU409-432:27,1,1,13,-17000,C6H5CH2C(.)=CH2,,,C6H4(.)CH2CHCH2,,,900,1
46,44,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,1,1.16,12,-129118,[None],,,[None],,,250,1
47,45,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,1,1.27,13,-74517,[None],,,[None],,,250,1
48,47,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2D6D34F04302B664440C18828AA926DB?id=2003TOK/LIN11397-11408:16,1,3.92,13,-158072,[None],,,2-(.)C6H4C2H3,,,250,1
49,48,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8E62AB2A341FD57FF0A3816F759D299C?id=2008LIF/TAM925-933:7,1,1.33,14,-156063,C10H7CH2CH2(.),,,['C(=C)C1=CC=CC2=CC=CC=C12'],H(.),,950,1
50,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001ORL/TYN149-156:2,1,1.4,12,-26274,HC(O)CO,,,CO,HCO,,224,1
51,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2010DAS6698-6705:6,1,2.37,14,-42413,HC(O)CO,,,CO,HCO,,200,1
54,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:9,1,6.4,13,-35100,HC(O)CO,,,CO,HCO,,"298
 
K",1
55,49,http://kinetics.nist.gov/kinetics/Detail;jsessionid=64069618E081F92FB140ADB813FFA00E?id=2001MER/RAY4712-4717:29,1,1.8,6,,HC(O)CO,,,CO,HCO,,"298
 
K",1
56,50,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0750B30280F398686C0ED8AB2D30FCEE?id=2012VIL/HUY5068-5089:17,1,3.37,9,-59831,(.)C(CH2OOH)(CH3)CH2CH3,,,CH3CH2CH(CH3)CH2OO(.),,,300,1
58,52,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D5F83D147DB9EFCC9EE2B88E541FF793?id=2013DAV/SAR7670-7685:47,1,1.84,9,-225099,['C(CC#CC)=O'],,,['CC=1OC=CC1'],,,300,1
60,54,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9033E0D3BFAC12AB138D5B98D6712723?id=2001LIN/MAU409-432:8,1,1,10,,C6H4(C2H)C2H2(.),,,[None],,,900,1
61,55,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB18B04EFA7FC4F2CBBF4FB2F53CD374?id=1998KUL/KOG5228-5235:1,1,8.95,-9,,CF(O)NO,,,FCO,NO,,"298
 
K",1
62,56,http://kinetics.nist.gov/kinetics/Detail;jsessionid=EDE77CD77039E2B9A28C5098BFAF6385?id=1998KUL/KOG5228-5235:2,1,3.24,-13,,CF(O)NO,,,CO,FNO,,"298
 
K",1
64,58,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2006ZHA/LI190-196:1,1,2.91,4,-43734,BNH2,,,HBNH,,,200,1
65,58,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BC62B53695045B458901A1A54CAA4E2F?id=2003ROS/CRA10647-10652:1,1,,,-114642,BNH2,,,HBNH,,,,1
67,60,http://kinetics.nist.gov/kinetics/Detail;jsessionid=9014924BB4EA593E1BA6BDB9ECC2BDF6?id=1994MAR/ASC585-590:3,1,3.31,12,-162964,CH2=CHCH2NHSC(CH3)3,,,[None],['C=C(C)C'],,583,1
68,61,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39E5F1AFE975CFC0928E57E2039781D2?id=1994MAR/ASC585-590:2,1,9.77,10,-151323,CH2=CHCH2NHSC(CH3)3,,,[None],CH3CH=CH2,,583,1
72,65,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FF6B7EB5F37B0559B08FE2FB7502040?id=1997KIR/THU1801-1804:1,1,1.1,16,-93122,CH3OCH2OONO2,,,NO2,CH3OCH2OO(.),,257,1
79,72,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9AF76E6F177D19C3F201AAB47D16CC4?id=1994GRO/GRO1099-1105:2,1,2.4,-4,,(CH3)2CHCH2C(O)OONO2,,,(CH3)2CHCH2C(O)OO(.),NO2,,"298
 
K",1
83,75,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5DA1D910BBB45041970C18B9612265E8?id=1995RUS/DAV3717-3723:4,1,3.16,14,-149660,[None],[None],,[None],[None],,523,1
85,77,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F0A7DA635E3FD6501BEADFABD8E2E50C?id=2013DAM/WAN307-314:4,1,6.87,13,-189911,[None],,,[None],,,298,1
87,79,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=2001ATK/BAU1-56:385,2,2,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2
88,79,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71E7A361C94ED1AF9B56D73749D1A025?id=1997ATK/BAU521-1011:468,2,2.01,-12,,CF3CF2OO(.),CF3CF2OO(.),,O2,CF3OCF2(.),CF3OCF2(.),"298
 
K",2
94,85,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2FA9C9D49610CBE86316EF8CF5146F69?id=1994MOG/NIE375-380:2,1,1.3,-2,,CF3CFHOONO2,,,NO2,CF3CFHO2(.),,"296
 
K",1
95,86,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:5,1,1.66,4,,[None],,,['C(C1=CC=CC=C1)(=O)OCC'],2-C3H7,,"329
 
K",1
96,86,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:6,1,1.2,1,,[None],,,['C(C1=CC=CC=C1)(=O)OCC'],2-C3H7,,"329
 
K",1
97,87,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:3,1,1.38,3,,[None],,,['CC(C)OC(C1=CC=CC=C1)=O'],(.)CH3,,"329
 
K",1
98,87,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:4,1,4,1,,[None],,,['CC(C)OC(C1=CC=CC=C1)=O'],(.)CH3,,"329
 
K",1
99,88,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4C824505AE75C3F1AACF5D53D78B09CF?id=1993BAN/SCA2473-2477:1,1,2.13,2,,[None],,,['COC(C1=CC=CC=C1)=O'],(.)C2H5,,"329
 
K",1
102,90,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FA5F39E9FE2B432126CEB536C8FF0731?id=2004LEC/VIL795-805:33,2,1.45,-11,,[None],[None],,(CH3)3CC(O)O,(CH3)3CC(O)O,O2,"296
 
K",2
103,91,http://kinetics.nist.gov/kinetics/Detail;jsessionid=184F5E86378EE4DDA206D984F12E7EE4?id=2004LEC/VIL795-805:34,2,1.44,-11,,(CH3)2CHC(O)O2,(CH3)2CHC(O)O2,,O2,(CH3)2CHC(O)O(.),(CH3)2CHC(O)O(.),"296
 
K",2
104,92,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BEFB15370874746FA3FF809DC5AE5B6?id=1962TAY/SMI4817-4824:24,1,8.34,12,-187076,['C(C)(=O)OC(C1=CC(=CC=C1)F)C'],,,CH3C(O)OH,['C(=C)C1=CC(=CC=C1)F'],,599,1
106,94,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89E98B054AE5A711D6FDD725769132A3?id=1997ATK/BAU521-1011:467,2,3.01,-12,,CHF2CF2OO(.),CHF2CF2OO(.),,[None],O2,,"298
 
K",2
109,96,http://kinetics.nist.gov/kinetics/Detail;jsessionid=89DC4A500BB17215EC1346D04149466F?id=1997ATK/BAU521-1011:466,2,3.75,-12,,CHF2OO,CHF2OO,,[None],O2,,"298
 
K",2
112,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4,1,7.6,24,-29350,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,264,1
113,99,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2003MER/RAY4828-4833:3,1,2.4,12,-38911,CH3CH(O.)CH2CH2CH3,,,CH3CH(OH)CH2CH2CH2(.),,,"298
 
K",1
