Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
9,20.0,20.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7B4C90F1AE0B1515C9EEE9F960B6BA95?id=2003TOK/LIN11397-11408:9,1.0,2.47,13,-13012,[None],,,[None],,,250,1.0
19,46.0,44.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1FA58A50BA6AA7852B9498F9F9FAD7D?id=2003TOK/LIN11397-11408:15,1.0,1.16,12,-129118,[None],,,[None],,,250,1.0
20,47.0,45.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FEA923D385045080F0F7D30240D6555F?id=2003TOK/LIN11397-11408:11,1.0,1.27,13,-74517,[None],,,[None],,,250,1.0
28,58.0,52.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D5F83D147DB9EFCC9EE2B88E541FF793?id=2013DAV/SAR7670-7685:47,1.0,1.84,9,-225099,['C(CC#CC)=O'],,,['CC=1OC=CC1'],,,300,1.0
44,83.0,75.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5DA1D910BBB45041970C18B9612265E8?id=1995RUS/DAV3717-3723:4,1.0,3.16,14,-149660,[None],[None],,[None],[None],,523,1.0
46,85.0,77.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F0A7DA635E3FD6501BEADFABD8E2E50C?id=2013DAM/WAN307-314:4,1.0,6.87,13,-189911,[None],,,[None],,,298,1.0
99,154.0,117.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A274B1B27949BC30C729230B3CF012FA?id=1991MAR/ASC579-585:4,1.0,6.31,10,-144672,[None],,,['C=C(C)C'],['FC1=CC=C(C=C1)SS'],,673,1.0
100,155.0,118.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7AAFFDE9EEACD75DD20966A4DC4B2C57?id=1991MAR/ASC579-585:3,1.0,2.88,-13,-184581,[None],,,['C=C(C)C'],['[N+](=O)([O-])C1=CC=C(C=C1)SS'],,693,1.0
101,157.0,120.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1CC93C24CF4443CC51AA970DF6F1357?id=1996GAJ/OLS299-306:2,1.0,1.43,-5,,[None],,,[None],,,"563
 
K",1.0
113,186.0,135.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=952A45CEF6C3BE98CBBB901DF2009BE6?id=1991ROT/RUH2047-2051:2,1.0,2.95,10,-27188,[None],,,[None],,,423,1.0
120,196.0,142.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=87B227B28103C5CCC4024F8E305E9366?id=1991MCG/DEM939-945:2,1.0,5.89,13,-188739,[None],,,['C(C)OC1CCCC1'],,,547,1.0
121,197.0,143.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3AC666B562673649C7317C233B848694?id=2004CAV/FAS705-720:3,1.0,6.4,11,-74894,[None],,,[None],,,500,1.0
122,198.0,144.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=71977AEB53520EFE2A8FDD3ED299B1F3?id=2004CAV/FAS705-720:5,1.0,1.1,12,-94140,[None],,,[None],,,500,1.0
146,223.0,164.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=47D6F58E7D6D30F3D0484D102B9DDF5D?id=1990ALA/ALB2903-2910:7,1.0,1.02,12,-153818,['CC(C)(C)OC(=O)C1=COC=C1'],,,['C=C(C)C'],['O1C=C(C=C1)C(=O)O'],,561,1.0
147,224.0,165.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C2434F0E366696B14FF3336649A220BB?id=1990ALA/ALB2903-2910:6,1.0,1.02,12,-152986,['CC(C)(C)OC(=O)C1=CSC=C1'],,,['S1C=C(C=C1)C(=O)O'],['C=C(C)C'],,560,1.0
163,241.0,173.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:15,1.0,4.63,-6,,['CC(C(=C)[C@H]1[C@@H](C1)C)(C)C'],,,['CC(C)(C)C1=CC[C@H](C1)C'],,,"553
 
K",1.0
164,242.0,173.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:16,1.0,5,-1,,['CC(C(=C)[C@H]1[C@@H](C1)C)(C)C'],,,['CC(C)(C)C1=CC[C@H](C1)C'],,,"553
 
K",1.0
167,247.0,178.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=036006660F1CA3AD1F7A1050A87B0EC4?id=1989GAJ/SQU6717-6728:12,1.0,2.1,-7,,[None],,,['CC1C(C=CC1)([2H])[2H]'],,,"553
 
K",1.0
169,250.0,181.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=78FB7E97E3ED1AF5CAFA5D6296FBAD8E?id=1989GAJ/SQU6717-6728:9,1.0,3.88,-6,,['CC(C(=C([2H])[2H])[C@H]1[C@@H](C1)C([2H])([2H])[2H])(C)C'],,,['CC(C)(C)C1=CCC(C1([2H])[2H])C([2H])([2H])[2H]'],,,"553
 
K",1.0
171,253.0,184.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=6E7AD3D2E8A0B5F8F48DA0D6FDE939A8?id=1989GAJ/SQU6717-6728:6,1.0,4.28,-6,,[None],,,[None],,,"553
 
K",1.0
180,264.0,192.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=074A0CBAA40C95C76525BF75DF059DB5?id=1989BET/CLA1292-1299:4,1.0,2,11,-172941,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C/C)[Si]1(CC(=C(C1)C)C)C'],,,704,1.0
181,265.0,193.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=771F257782FEB72EAA740CE659B54551?id=1989BET/CLA1292-1299:3,1.0,3.98,11,-176267,['C[Si]1(CC(=C(C1)C)C)C(C=C)C'],,,['C(\\C=C\\C)[Si]1(CC(=C(C1)C)C)C'],,,704,1.0
188,281.0,202.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BA0474E9017259EC225C298A2D5AD01A?id=2004CAV/FAS705-720:4,1.0,8.3,11,-70291,[None],,,[None],,,500,1.0
189,282.0,203.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=F641DF4017968181B0932F63075FD6C5?id=2004CAV/FAS705-720:7,1.0,1.4,13,-126357,[None],,,[None],,,500,1.0
