Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
0,6949.0,3483.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=754BA0D9F1BE381BB7E4D1B91B6AAE9F?id=1987ATK/ASC91:8,2.0,3.25,-1,,NO,CH3CH2CH2CH2CH(OO(.))CH2CH3,,n-C4H9CH(C2H5)NO3,,,"299
 
K",2.0
2,4.0,4.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=4FD6850886FAF27525AA3A9670619B09?id=2007BRU/JOD194-200:10,1.0,4.3,15,-180341,CCl3OF,,,(.)F,CCl3O,,200,1.0
3,5.0,5.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=2297AF00E71417E132A2AF4216700A45?id=2007BRU/JOD194-200:2,1.0,1.3,16,-325345,CCl3OF,,,(.)CCl3,OF,,200,1.0
5,7.0,7.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E4588ECFEC28EEC66AFB1953801745DC?id=2007BRU/JOD194-200:4,1.0,9.2,15,-324514,CCl3OBr,,,(.)CCl3,BrO,,200,1.0
6,8.0,8.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=69EAFFA6C6B9EA4D7AF19640C6D54487?id=2007BRU/JOD194-200:7,1.0,1.21,16,-305141,CBr3OCl,,,CBr3,ClO,,200,1.0
8,19.0,19.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=74CEE6C0E6267351A6C90E4AC2814022?id=2003LAR/MOR65-70:1,,,,-46861,(CH3)AlAl(CH3)2,,,Al(CH3)Al(CH3)2,,,,
14,35.0,35.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=37C79B5D7ECBE43E76DF18BAE668D99D?id=2001LIN/MAU409-432:27,1.0,1,13,-17000,C6H5CH2C(.)=CH2,,,C6H4(.)CH2CHCH2,,,900,1.0
15,36.0,36.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E02D5F6C6B8520331D7A37F050948F87?id=2003DRO/KOS297-304:4,1.0,3.65,-19,-74290,CH3CHBrO(.),,,CH3CBr(OH)(.),,,250,1.0
16,38.0,37.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=660F6FEEC40772C1085D7752042D42C6?id=2003DRO/KOS297-304:2,1.0,4.82,-17,-60895,CH3CHBrO(.),,,(.)CH3,HC(O)Br,,250,1.0
17,39.0,38.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=BA04DAAA447367E22FA10C0DDD35B26B?id=2003DRO/KOS297-304:3,1.0,3.99,-15,-45297,CH3CHBrO(.),,,CH3COBr,H(.),,250,1.0
